i,ni
1,0.11670521452767e4
2,-0.72421316703206e6
3,-0.17073846940092e2
4,0.12020824702470e5
5,-0.32325550322333e7
6,0.14915108613530e2
7,-0.48232657361591e4
8,0.40511340542057e6
9,-0.23855557567849
10,0.65017534844798e3
