i,Ii,Ji,ni
1,1,1,0.15736404855259e-2
2,1,2,0.90153761673944e-3
3,1,3,-0.50270077677648e-2
4,2,3,0.22440037409485e-5
5,2,9,-0.41163275453471e-5
6,3,7,0.37919454822955e-7
